#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.04 aq:20.77 tex:2037126 mv:80618 misc:6016 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:22.84 aq:21.47 tex:1905281 mv:13140 misc:283 imb:3196 pmb:392 smb:12 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:22.84 aq:22.08 tex:1746392 mv:26998 misc:618 imb:2900 pmb:555 smb:145 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:22.84 aq:22.38 tex:1669302 mv:29407 misc:835 imb:2726 pmb:615 smb:259 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:22.84 aq:22.50 tex:1645700 mv:28754 misc:746 imb:2759 pmb:616 smb:225 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:30.84 aq:29.82 tex:285790 mv:22206 misc:412 imb:3240 pmb:338 smb:22 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:26.84 aq:26.09 tex:892505 mv:28057 misc:710 imb:2131 pmb:1306 smb:163 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:24.84 aq:24.36 tex:1293152 mv:28805 misc:867 imb:2593 pmb:712 smb:295 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:28.84 aq:28.13 tex:473763 mv:26833 misc:1348 imb:1807 pmb:1365 smb:428 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:38.84 aq:37.81 tex:15816 mv:8068 misc:2148 imb:1451 pmb:308 smb:1841 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:34.84 aq:34.01 tex:18777 mv:9654 misc:3505 imb:618 pmb:792 smb:2190 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:32.84 aq:32.10 tex:38975 mv:10389 misc:3580 imb:629 pmb:1113 smb:1858 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:36.84 aq:36.08 tex:1548 mv:902 misc:1542 imb:35 pmb:233 smb:3332 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:45.90 aq:44.48 tex:3521 mv:5585 misc:2062 imb:493 pmb:208 smb:2899 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:42.37 aq:41.29 tex:725 mv:1147 misc:848 imb:18 pmb:91 smb:3491 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:40.60 aq:39.98 tex:376 mv:274 misc:654 imb:7 pmb:64 smb:3529 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:44.13 aq:43.97 tex:174 mv:176 misc:418 imb:4 pmb:25 smb:3571 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:43.49 aq:42.51 tex:7650 mv:5919 misc:2447 imb:1441 pmb:210 smb:1949 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:44.70 aq:43.08 tex:394 mv:1285 misc:1025 imb:37 pmb:120 smb:3443 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:45.30 aq:43.73 tex:179 mv:770 misc:627 imb:13 pmb:59 smb:3528 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:44.09 aq:43.18 tex:171 mv:168 misc:413 imb:4 pmb:25 smb:3571 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:41.38 aq:40.38 tex:9171 mv:6240 misc:2589 imb:1029 pmb:266 smb:2305 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:42.44 aq:41.83 tex:245 mv:361 misc:578 imb:6 pmb:50 smb:3544 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:42.96 aq:42.33 tex:194 mv:535 misc:583 imb:7 pmb:55 smb:3538 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:41.91 aq:41.34 tex:379 mv:371 misc:690 imb:14 pmb:64 smb:3522 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:39.60 aq:38.71 tex:14645 mv:8259 misc:2544 imb:1681 pmb:289 smb:1630 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:40.49 aq:39.92 tex:525 mv:752 misc:939 imb:16 pmb:110 smb:3474 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:40.93 aq:40.01 tex:410 mv:749 misc:849 imb:15 pmb:92 smb:3493 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:40.05 aq:39.87 tex:398 mv:230 misc:684 imb:4 pmb:71 smb:3525 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:38.08 aq:37.09 tex:21246 mv:8855 misc:2539 imb:1600 pmb:341 smb:1659 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:38.84 aq:37.99 tex:1017 mv:1168 misc:1295 imb:27 pmb:180 smb:3393 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:39.22 aq:38.55 tex:702 mv:587 misc:1039 imb:7 pmb:140 smb:3453 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:38.46 aq:37.53 tex:1559 mv:1251 misc:1694 imb:44 pmb:270 smb:3286 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:36.58 aq:35.73 tex:26610 mv:9895 misc:2375 imb:1711 pmb:357 smb:1532 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:37.33 aq:36.28 tex:2993 mv:3992 misc:2663 imb:153 pmb:524 smb:2923 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:37.71 aq:37.17 tex:1356 mv:927 misc:1533 imb:18 pmb:246 smb:3336 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:36.95 aq:36.48 tex:2074 mv:1002 misc:1820 imb:22 pmb:326 smb:3252 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:35.22 aq:34.57 tex:44344 mv:13163 misc:2381 imb:2106 pmb:415 smb:1079 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:35.90 aq:35.16 tex:6183 mv:5562 misc:3135 imb:246 pmb:719 smb:2635 d:- ref:0 ;
