#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.95 aq:13.21 tex:680384 mv:99712 misc:6240 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:24.56 aq:15.16 tex:109470 mv:16514 misc:3296 imb:236 pmb:2253 smb:1111 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:24.56 aq:19.31 tex:9762 mv:7386 misc:3124 imb:8 pmb:979 smb:2613 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:24.56 aq:17.76 tex:990 mv:1840 misc:2346 imb:0 pmb:570 smb:3030 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:24.56 aq:19.70 tex:2293 mv:3289 misc:2122 imb:5 pmb:471 smb:3124 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:28.56 aq:18.76 tex:56865 mv:12656 misc:3519 imb:176 pmb:2019 smb:1405 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:26.56 aq:19.60 tex:1134 mv:1954 misc:1472 imb:5 pmb:274 smb:3321 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:24.98 aq:15.48 tex:136733 mv:16460 misc:3007 imb:243 pmb:2417 smb:940 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:26.77 aq:20.18 tex:3458 mv:4888 misc:2470 imb:9 pmb:598 smb:2993 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:27.66 aq:18.80 tex:497 mv:724 misc:1579 imb:1 pmb:303 smb:3296 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:25.87 aq:21.02 tex:1168 mv:2368 misc:1664 imb:2 pmb:324 smb:3274 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:22.72 aq:13.58 tex:194632 mv:17732 misc:2756 imb:265 pmb:2558 smb:777 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:23.85 aq:19.12 tex:11031 mv:8209 misc:3152 imb:14 pmb:1033 smb:2553 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:24.41 aq:16.50 tex:934 mv:1646 misc:2324 imb:2 pmb:578 smb:3020 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:23.28 aq:19.95 tex:3118 mv:3936 misc:2226 imb:7 pmb:547 smb:3046 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:20.55 aq:11.00 tex:265630 mv:15926 misc:2372 imb:237 pmb:2756 smb:607 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:21.64 aq:18.43 tex:4663 mv:5070 misc:2707 imb:5 pmb:766 smb:2829 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:19.42 aq:9.83 tex:314077 mv:18132 misc:2279 imb:259 pmb:2792 smb:549 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:19.99 aq:16.43 tex:17205 mv:9939 misc:3448 imb:12 pmb:1389 smb:2199 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:20.27 aq:14.37 tex:2801 mv:2315 misc:2972 imb:3 pmb:884 smb:2713 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:19.71 aq:17.30 tex:7159 mv:6116 misc:2901 imb:2 pmb:933 smb:2665 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:19.46 aq:10.15 tex:273196 mv:17632 misc:2660 imb:236 pmb:2633 smb:731 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:19.44 aq:15.43 tex:28449 mv:11070 misc:3481 imb:14 pmb:1508 smb:2078 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:19.43 aq:14.23 tex:2594 mv:1914 misc:2764 imb:3 pmb:770 smb:2827 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:19.45 aq:17.01 tex:10810 mv:6366 misc:3024 imb:7 pmb:987 smb:2606 d:- ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:18.44 aq:8.81 tex:328877 mv:15338 misc:2417 imb:218 pmb:2800 smb:582 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:18.95 aq:16.83 tex:10000 mv:6465 misc:3015 imb:5 pmb:1010 smb:2585 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:17.85 aq:8.38 tex:391429 mv:18021 misc:2270 imb:279 pmb:2793 smb:528 d:- ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:18.15 aq:14.88 tex:22353 mv:10380 misc:3459 imb:6 pmb:1449 smb:2145 d:- ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:18.29 aq:13.73 tex:2998 mv:2252 misc:3134 imb:2 pmb:982 smb:2616 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:18.00 aq:16.54 tex:10350 mv:6479 misc:2947 imb:3 pmb:1042 smb:2555 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:18.13 aq:8.87 tex:316692 mv:16762 misc:2730 imb:223 pmb:2581 smb:796 d:- ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:17.99 aq:13.97 tex:38485 mv:12035 misc:3376 imb:16 pmb:1590 smb:1994 d:- ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:17.92 aq:16.08 tex:3350 mv:1850 misc:2768 imb:3 pmb:773 smb:2824 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:18.06 aq:17.34 tex:12491 mv:6717 misc:2984 imb:3 pmb:1050 smb:2547 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:17.61 aq:8.07 tex:343608 mv:15646 misc:2442 imb:209 pmb:2795 smb:596 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:17.87 aq:15.58 tex:10999 mv:6851 misc:3038 imb:2 pmb:1002 smb:2596 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:17.18 aq:7.76 tex:402688 mv:17510 misc:2322 imb:238 pmb:2783 smb:579 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:17.39 aq:14.22 tex:27638 mv:10994 misc:3408 imb:8 pmb:1545 smb:2047 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:17.50 aq:14.40 tex:3932 mv:2696 misc:3108 imb:3 pmb:1018 smb:2579 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:17.29 aq:16.08 tex:12140 mv:6872 misc:2980 imb:3 pmb:1079 smb:2518 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:17.47 aq:8.29 tex:341093 mv:16795 misc:2680 imb:243 pmb:2602 smb:755 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:17.33 aq:12.90 tex:42659 mv:11822 misc:3471 imb:19 pmb:1629 smb:1952 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:17.25 aq:14.48 tex:3093 mv:1676 misc:2695 imb:6 pmb:738 smb:2856 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:17.40 aq:16.65 tex:16450 mv:7073 misc:2925 imb:2 pmb:1060 smb:2538 d:- ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:17.11 aq:7.60 tex:352809 mv:15813 misc:2418 imb:255 pmb:2723 smb:622 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:17.29 aq:15.72 tex:14468 mv:6950 misc:3134 imb:5 pmb:1098 smb:2497 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:16.79 aq:7.45 tex:405346 mv:17285 misc:2369 imb:234 pmb:2750 smb:616 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:16.95 aq:13.88 tex:31318 mv:10622 misc:3460 imb:14 pmb:1511 smb:2075 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:17.03 aq:13.19 tex:3804 mv:2527 misc:3197 imb:3 pmb:1022 smb:2575 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:16.87 aq:15.83 tex:13065 mv:6662 misc:2969 imb:4 pmb:1070 smb:2526 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:17.05 aq:8.16 tex:336702 mv:16784 misc:2682 imb:213 pmb:2621 smb:766 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:16.92 aq:12.56 tex:48253 mv:12040 misc:3459 imb:10 pmb:1707 smb:1883 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:16.86 aq:14.32 tex:3407 mv:1934 misc:2883 imb:2 pmb:840 smb:2758 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:16.98 aq:16.17 tex:17226 mv:7225 misc:2997 imb:4 pmb:1095 smb:2501 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:16.74 aq:7.54 tex:352788 mv:15717 misc:2431 imb:272 pmb:2677 smb:651 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:16.89 aq:15.19 tex:16711 mv:7730 misc:3111 imb:7 pmb:1137 smb:2456 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:16.48 aq:7.42 tex:386045 mv:17723 misc:2344 imb:262 pmb:2748 smb:590 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:16.61 aq:13.02 tex:33600 mv:11517 misc:3507 imb:17 pmb:1620 smb:1963 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:16.68 aq:13.28 tex:4064 mv:2832 misc:3248 imb:3 pmb:1080 smb:2517 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:16.54 aq:15.40 tex:14713 mv:7335 misc:3080 imb:5 pmb:1156 smb:2439 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:16.67 aq:8.10 tex:309762 mv:16353 misc:2813 imb:247 pmb:2527 smb:826 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:16.58 aq:12.19 tex:51892 mv:12067 misc:3409 imb:20 pmb:1723 smb:1857 d:- ref:0 ;
